Date,HomeTeam,AwayTeam
22/12/2018,Chievo,Inter
22/12/2018,Empoli,Sampdoria
22/12/2018,Genoa,Atalanta
22/12/2018,Juventus,Roma
22/12/2018,Lazio,Cagliari
22/12/2018,Milan,Fiorentina
22/12/2018,Napoli,Spal
22/12/2018,Parma,Bologna
22/12/2018,Sassuolo,Torino
22/12/2018,Udinese,Frosinone
26/12/2018,Atalanta,Juventus
26/12/2018,Bologna,Lazio
26/12/2018,Cagliari,Genoa
26/12/2018,Fiorentina,Parma
26/12/2018,Frosinone,Milan
26/12/2018,Inter,Napoli
26/12/2018,Roma,Sassuolo
26/12/2018,Sampdoria,Chievo
26/12/2018,Spal,Udinese
26/12/2018,Torino,Empoli
29/12/2018,Chievo,Frosinone
29/12/2018,Empoli,Inter
29/12/2018,Genoa,Fiorentina
29/12/2018,Juventus,Sampdoria
29/12/2018,Lazio,Torino
29/12/2018,Milan,Spal
29/12/2018,Napoli,Bologna
29/12/2018,Parma,Roma
29/12/2018,Sassuolo,Atalanta
29/12/2018,Udinese,Cagliari
19/01/2019,Inter,Sassuolo
19/01/2019,Roma,Torino
19/01/2019,Udinese,Parma
20/01/2019,Cagliari,Empoli
20/01/2019,Fiorentina,Sampdoria
20/01/2019,Frosinone,Atalanta
20/01/2019,Napoli,Lazio
20/01/2019,Spal,Bologna
21/01/2019,Genoa,Milan
21/01/2019,Juventus,Chievo
26/01/2019,Milan,Napoli
26/01/2019,Sampdoria,Udinese
26/01/2019,Sassuolo,Cagliari
27/01/2019,Atalanta,Roma
27/01/2019,Bologna,Frosinone
27/01/2019,Chievo,Fiorentina
27/01/2019,Lazio,Juventus
27/01/2019,Parma,Spal
27/01/2019,Torino,Inter
28/01/2019,Empoli,Genoa
02/02/2019,Empoli,Chievo
02/02/2019,Juventus,Parma
02/02/2019,Napoli,Sampdoria
03/02/2019,Genoa,Sassuolo
03/02/2019,Inter,Bologna
03/02/2019,Roma,Milan
03/02/2019,Spal,Torino
03/02/2019,Udinese,Fiorentina
04/02/2019,Cagliari,Atalanta
04/02/2019,Frosinone,Lazio
07/02/2019,Lazio,Empoli
08/02/2019,Chievo,Roma
09/02/2019,Fiorentina,Napoli
09/02/2019,Parma,Inter
10/02/2019,Atalanta,Spal
10/02/2019,Bologna,Genoa
10/02/2019,Milan,Cagliari
10/02/2019,Sampdoria,Frosinone
10/02/2019,Sassuolo,Juventus
10/02/2019,Torino,Udinese
15/02/2019,Juventus,Frosinone
16/02/2019,Atalanta,Milan
16/02/2019,Cagliari,Parma
17/02/2019,Empoli,Sassuolo
17/02/2019,Genoa,Lazio
17/02/2019,Inter,Sampdoria
17/02/2019,Napoli,Torino
17/02/2019,Spal,Fiorentina
17/02/2019,Udinese,Chievo
18/02/2019,Roma,Bologna
22/02/2019,Milan,Empoli
23/02/2019,Frosinone,Roma
23/02/2019,Torino,Atalanta
24/02/2019,Bologna,Juventus
24/02/2019,Chievo,Genoa
24/02/2019,Fiorentina,Inter
24/02/2019,Parma,Napoli
24/02/2019,Sampdoria,Cagliari
24/02/2019,Sassuolo,Spal
01/03/2019,Cagliari,Inter
02/03/2019,Empoli,Parma
02/03/2019,Lazio,Roma
02/03/2019,Milan,Sassuolo
03/03/2019,Atalanta,Fiorentina
03/03/2019,Genoa,Frosinone
03/03/2019,Napoli,Juventus
03/03/2019,Spal,Sampdoria
03/03/2019,Torino,Chievo
03/03/2019,Udinese,Bologna
08/03/2019,Juventus,Udinese
09/03/2019,Chievo,Milan
09/03/2019,Parma,Genoa
